 AgntStrts: ,19, EstInteractns: ,932, InteractnsHndld: ,931, HndlTme: ,9.9, ASR: ,56.53, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:22
 AgntStrts: ,19, EstInteractns: ,932, InteractnsHndld: ,934, HndlTme: ,9.9, ASR: ,56.56, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:25
 AgntStrts: ,19, EstInteractns: ,932, InteractnsHndld: ,932, HndlTme: ,9.9, ASR: ,56.57, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:29
 AgntStrts: ,19, EstInteractns: ,1004, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,92.44, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:34
 AgntStrts: ,19, EstInteractns: ,1011, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,97.49, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:38
 AgntStrts: ,19, EstInteractns: ,1019, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,99.88, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:43
 AgntStrts: ,19, EstInteractns: ,1026, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,99.64, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:47
 AgntStrts: ,19, EstInteractns: ,1034, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,105.24, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:51
 AgntStrts: ,19, EstInteractns: ,1041, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,107.52, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:26:55
 AgntStrts: ,19, EstInteractns: ,1049, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,109.0, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:27:0
 AgntStrts: ,19, EstInteractns: ,1056, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,109.04, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:27:4
 AgntStrts: ,19, EstInteractns: ,1064, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,113.48, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:27:9
 AgntStrts: ,19, EstInteractns: ,981, InteractnsHndld: ,944, HndlTme: ,9.9, ASR: ,84.97, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:16
 AgntStrts: ,19, EstInteractns: ,988, InteractnsHndld: ,944, HndlTme: ,9.9, ASR: ,85.73, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:20
 AgntStrts: ,19, EstInteractns: ,994, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,88.57, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:24
 AgntStrts: ,19, EstInteractns: ,1047, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,108.24, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:28
 AgntStrts: ,19, EstInteractns: ,1054, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,108.7, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:33
 AgntStrts: ,19, EstInteractns: ,1061, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,112.49, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:37
 AgntStrts: ,19, EstInteractns: ,1101, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,122.81, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:43
 AgntStrts: ,19, EstInteractns: ,1108, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,125.12, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:47
 AgntStrts: ,19, EstInteractns: ,1115, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,125.72, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:53
 AgntStrts: ,19, EstInteractns: ,1130, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,131.43, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:32:58
 AgntStrts: ,19, EstInteractns: ,1137, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,130.7, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:33:5
 AgntStrts: ,19, EstInteractns: ,1145, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,132.32, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:33:11
 AgntStrts: ,19, EstInteractns: ,1020, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,99.31, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:29
 AgntStrts: ,19, EstInteractns: ,1020, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,99.74, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:33
 AgntStrts: ,19, EstInteractns: ,1031, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,105.18, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:37
 AgntStrts: ,19, EstInteractns: ,1117, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,125.68, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:42
 AgntStrts: ,19, EstInteractns: ,1117, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,125.79, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:47
 AgntStrts: ,19, EstInteractns: ,1117, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,125.82, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:51
 AgntStrts: ,19, EstInteractns: ,1153, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,135.02, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:36:55
 AgntStrts: ,19, EstInteractns: ,1153, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,134.04, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:37:0
 AgntStrts: ,19, EstInteractns: ,1154, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,133.63, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:37:5
 AgntStrts: ,19, EstInteractns: ,1176, InteractnsHndld: ,947, HndlTme: ,9.9, ASR: ,139.95, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:37:9
 AgntStrts: ,19, EstInteractns: ,1199, InteractnsHndld: ,948, HndlTme: ,9.9, ASR: ,143.38, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:37:14
 AgntStrts: ,19, EstInteractns: ,1222, InteractnsHndld: ,948, HndlTme: ,9.9, ASR: ,148.36, EstUtil: ,1.0, Tmestmp: ,10/2/2023 12:37:19
